comment	id	cond	initial	search	repair_label	notes	title	body	tags
	welcome_note			"端末
操作
案内
ヒント"			操作ガイド	ナビ検索とコンテンツ修復を順に試します。右下のナビで「古いメモ」と検索してください。	"案内
操作"
	feature_test_guide			"機能テスト
試し方
着信テスト
遅延メッセージ"			機能テスト一覧	"ナビで「機能テスト」と入力するか、Quick Replyの「機能テスト」を選ぶと、次の操作を選べます。

・着信テスト：数秒後に電話が着信します。
・遅延メッセージ：数秒後に別ルームへ届き、通知が出ます。
・画像受信テスト：別ルームに画像が届き、開くとアルバムへ自動登録されます。
・ノイズ演出：端末全体にノイズを表示します。
・フラッシュ演出：端末全体を白く光らせます。
・暗転演出：端末全体を一時的に暗転します。
・ゲームオーバー演出：ゲームオーバー画面を表示します。
・オールクリア演出：オールクリア画面の後、ラジオへ移動します。

メッセージの「デモ連絡先」では、何か送信すると連携先を選ぶQuick Replyが表示されます。
・別ルームへ送る：別のメッセージルームへ届きます。
・チャットへ送る：チャット復旧後、チャットの別ルームへ届きます。

チャットの「サンプルルーム」では、
・チャット連携：別のチャットルームへ届きます。
・メッセージへ送る：メッセージの受信箱へ届きます。

ナビで「消えた連絡記録」または「消えた談話記録」と検索すると、会話内の破損した初期履歴を修復できます。各受信では通知も表示されます。繰り返す場合は通知シェードの「最初から」を使ってください。"	"案内
機能テスト"
	old_note		repairable	"古いメモ
ふるいメモ"	古▚▐▀▜メモ		古いメモ	次は画像を探します。ナビで「雨」と検索し、表示された画像で一番大きく見える灯りの色を確認してください。色が分かったら、そのままナビに色を伝えてください。	"操作
画像"
	dummy_note_1			ダミーデータ			ダミーデータ	一覧スクロール確認用のダミーデータです。	ダミーデータ
	dummy_note_2			ダミーデータ			ダミーデータ	一覧スクロール確認用のダミーデータです。	ダミーデータ
	dummy_note_3			ダミーデータ			ダミーデータ	一覧スクロール確認用のダミーデータです。	ダミーデータ
	dummy_note_4			ダミーデータ			ダミーデータ	一覧スクロール確認用のダミーデータです。	ダミーデータ
	dummy_note_5			ダミーデータ			ダミーデータ	一覧スクロール確認用のダミーデータです。	ダミーデータ
	dummy_note_6			ダミーデータ			ダミーデータ	一覧スクロール確認用のダミーデータです。	ダミーデータ
	sealed_note	image_color_reported	hidden	"鍵付き
添付
パスワード"			鍵付きメモ	鍵付き添付とコンテンツ解錠の確認は完了です。次はチャットを修復してください。
